yearID,W,L,R,H,2B,3B,HR,name
2014,64,98,615,1379,259,47,118,Arizona Diamondbacks
2014,79,83,573,1316,240,22,123,Atlanta Braves
2014,96,66,705,1434,264,16,211,Baltimore Orioles
2014,71,91,634,1355,282,20,123,Boston Red Sox
2014,73,89,660,1400,279,32,155,Chicago Cubs
2014,73,89,614,1315,270,31,157,Chicago White Sox
2014,76,86,595,1282,254,20,131,Cincinnati Reds
2014,85,77,669,1411,284,23,142,Cleveland Indians
2014,66,96,755,1551,307,41,186,Colorado Rockies
2014,90,72,757,1557,325,26,155,Detroit Tigers
2014,70,92,629,1317,240,19,163,Houston Astros
2014,89,73,651,1456,286,29,95,Kansas City Royals
2014,98,64,773,1464,304,31,155,Los Angeles Angels of Anaheim
2014,94,68,718,1476,302,38,134,Los Angeles Dodgers
2014,77,85,645,1399,254,36,122,Miami Marlins
2014,82,80,650,1366,297,28,150,Milwaukee Brewers
2014,70,92,715,1412,316,27,128,Minnesota Twins
2014,84,78,633,1349,247,26,147,New York Yankees
2014,79,83,629,1306,275,19,125,New York Mets
2014,88,74,729,1354,253,33,146,Oakland Athletics
2014,73,89,619,1356,251,27,125,Philadelphia Phillies
2014,88,74,682,1436,275,30,156,Pittsburgh Pirates
2014,77,85,535,1199,224,30,109,San Diego Padres
2014,87,75,634,1328,247,32,136,Seattle Mariners
2014,88,74,665,1407,257,42,132,San Francisco Giants
2014,90,72,619,1371,275,21,105,St. Louis Cardinals
2014,77,85,612,1361,263,24,117,Tampa Bay Rays
2014,67,95,637,1400,260,28,111,Texas Rangers
2014,83,79,723,1435,282,24,177,Toronto Blue Jays
2014,96,66,686,1403,265,27,152,Washington Nationals
